location_id,location_name,province,year,season_name,season_type,crop_type,lat,lon,sensor,n_images,growing_days,rainfall_mm,temp_celsius,soil_moisture,ndvi,evi,ndwi,ndre,lai,bsi,ndvi_std,ndvi_min,ndvi_max,b2,b3,b4,b8,b11
PB01,Lahore,Punjab,2000,Rabi_2000,rabi,wheat,31.5204,74.3587,L7,2,150,100,18.5,20.9,0.1805,0.1113,-0.2522,0.1534,0.37,0.0941,0.0471,0.1098,0.2511,0.11765,0.13678,0.13678,0.19703,0.20821
PB02,Faisalabad,Punjab,2000,Rabi_2000,rabi,cotton,31.4187,73.0791,L7,6,150,100,18.5,25.2,0.1241,0.0817,-0.1808,0.1055,0.248,0.0669,0.0386,0.0662,0.182,0.1298,0.14579,0.14579,0.1871,0.18966
PB03,Multan,Punjab,2000,Rabi_2000,rabi,wheat,30.1978,71.4711,L7,9,150,100,18.5,24.7,0.1003,0.0654,-0.1884,0.0853,0.198,0.1158,0.035,0.0478,0.1528,0.13504,0.16168,0.16168,0.19774,0.22047
PB04,Gujranwala,Punjab,2000,Rabi_2000,rabi,rice,32.1877,74.1945,L7,2,150,100,18.5,16.1,0.2539,0.1646,-0.3309,0.2158,0.54,0.0784,0.0581,0.1668,0.3411,0.11714,0.13864,0.13864,0.23298,0.23258
PB05,Sheikhupura,Punjab,2000,Rabi_2000,rabi,rice,31.7167,73.985,L7,2,150,100,18.5,16.8,0.2405,0.149,-0.32,0.2044,0.508,0.0762,0.0561,0.1563,0.3246,0.11156,0.13259,0.13259,0.21655,0.21342
PB06,Okara,Punjab,2000,Rabi_2000,rabi,wheat,30.8101,73.449,L7,3,150,100,18.5,21.3,0.1675,0.1134,-0.2453,0.1424,0.341,0.0827,0.0451,0.0999,0.2352,0.12899,0.15176,0.15176,0.21283,0.22169
PB07,Sahiwal,Punjab,2000,Rabi_2000,rabi,cotton,30.6706,73.1064,L7,8,150,100,18.5,18.4,0.2265,0.155,-0.2936,0.1926,0.475,0.0574,0.054,0.1455,0.3075,0.12503,0.14438,0.14438,0.22896,0.22184
PB08,Vehari,Punjab,2000,Rabi_2000,rabi,cotton,30.0454,72.3519,L7,5,150,100,18.5,21.8,0.1597,0.114,-0.2363,0.1357,0.324,0.1085,0.044,0.0937,0.2257,0.14869,0.17441,0.17441,0.24068,0.26303
PB09,Lodhran,Punjab,2000,Rabi_2000,rabi,wheat,29.5367,71.6314,L7,9,150,100,18.5,21.5,0.166,0.1238,-0.242,0.1411,0.338,0.1085,0.0449,0.0987,0.2334,0.16332,0.1914,0.1914,0.26758,0.28688
PB10,Khanewal,Punjab,2000,Rabi_2000,rabi,sugarcane,30.3013,71.9325,L7,5,150,100,18.5,17.3,0.24,0.167,-0.3118,0.204,0.507,0.0572,0.056,0.156,0.324,0.1293,0.15107,0.15107,0.24647,0.23366
PB11,Rahim Yar Khan,Punjab,2000,Rabi_2000,rabi,sugarcane,28.4212,70.2957,L7,4,150,100,18.5,20.4,0.1678,0.1168,-0.2597,0.1426,0.342,0.1092,0.0452,0.1,0.2356,0.14368,0.1742,0.1742,0.24446,0.26072
PB12,Sialkot,Punjab,2000,Rabi_2000,rabi,rice,32.4945,74.5229,L7,5,150,100,18.5,19.4,0.2077,0.1257,-0.2759,0.1765,0.432,0.0842,0.0512,0.1309,0.2845,0.11239,0.12993,0.12993,0.19803,0.20283
PB13,Kasur,Punjab,2000,Rabi_2000,rabi,wheat,31.1162,74.449,L7,9,150,100,18.5,24.2,0.1102,0.0672,-0.1968,0.0937,0.219,0.1346,0.0365,0.0555,0.1649,0.12698,0.15165,0.15165,0.18921,0.21916
PB14,Jhang,Punjab,2000,Rabi_2000,rabi,cotton,31.2681,72.3162,L7,4,150,100,18.5,23.9,0.1271,0.0873,-0.2017,0.1081,0.254,0.0835,0.0391,0.0684,0.1857,0.13565,0.15813,0.15813,0.2042,0.21474
PB15,Bahawalpur,Punjab,2000,Rabi_2000,rabi,cotton,29.3956,71.6836,L7,4,150,100,18.5,21.7,0.1803,0.133,-0.2386,0.1533,0.37,0.0765,0.047,0.1098,0.2508,0.1454,0.16427,0.16427,0.23655,0.24561
SD01,Hyderabad,Sindh,2000,Rabi_2000,rabi,rice,25.396,68.3578,L7,8,150,100,22.0,20.9,0.1573,0.1188,-0.2521,0.1337,0.319,0.1225,0.0436,0.0919,0.2227,0.17063,0.208,0.208,0.28566,0.31097
SD02,Sukkur,Sindh,2000,Rabi_2000,rabi,wheat,27.7052,68.8574,L7,4,150,100,22.0,21.8,0.1473,0.1049,-0.2372,0.1252,0.297,0.1127,0.0421,0.0841,0.2104,0.15137,0.18247,0.18247,0.24552,0.26553
SD03,Larkana,Sindh,2000,Rabi_2000,rabi,rice,27.558,68.2247,L7,4,150,100,22.0,16.0,0.2726,0.1812,-0.3332,0.2317,0.586,0.0403,0.0609,0.1813,0.3639,0.11642,0.13306,0.13306,0.23279,0.21391
SD04,Nawabshah,Sindh,2000,Rabi_2000,rabi,cotton,26.2442,68.41,L7,4,150,100,22.0,22.5,0.1335,0.0887,-0.2246,0.1134,0.268,0.1223,0.04,0.0735,0.1935,0.13859,0.16734,0.16734,0.21889,0.24378
SD05,Mirpurkhas,Sindh,2000,Rabi_2000,rabi,rice,25.5279,69.0176,L7,4,150,100,22.0,22.4,0.1303,0.0894,-0.2272,0.1107,0.261,0.1324,0.0395,0.0711,0.1895,0.1448,0.17692,0.17692,0.22992,0.26394
SD06,Khairpur,Sindh,2000,Rabi_2000,rabi,sugarcane,27.5295,68.7592,L7,4,150,100,22.0,21.2,0.1619,0.1097,-0.2468,0.1376,0.329,0.1038,0.0443,0.0954,0.2283,0.13858,0.16546,0.16546,0.2294,0.2427
SD07,Sanghar,Sindh,2000,Rabi_2000,rabi,cotton,26.0423,68.9499,L7,4,150,100,22.0,20.2,0.1723,0.1226,-0.2632,0.1464,0.352,0.1083,0.0458,0.1036,0.241,0.14791,0.17905,0.17905,0.25359,0.27013
