ndvi,ndvi_max,evi,ndre,lai,growing_days,rainfall_mm,temp_celsius,crop_enc,yield_tha
0.2753,0.3738,0.1668,0.3174,1.8873,132,255.4,23.1,1.0,3.833
0.2236,0.279,0.1431,0.2559,1.1893,162,111.6,18.4,2.0,1.71
0.2993,0.3671,0.1947,0.1877,1.3572,103,84.5,28.5,2.0,2.033
0.2308,0.3399,0.1782,0.3139,0.9417,166,124.5,37.4,1.0,3.931
0.3248,0.4712,0.2411,0.0654,1.6099,174,175.3,22.7,0.0,3.519
0.275,0.4113,0.1882,0.1085,1.1699,148,106.8,35.7,0.0,3.522
0.3474,0.3988,0.2012,0.1094,2.3101,144,178.7,19.7,0.0,3.643
0.1614,0.2578,0.1147,0.2226,1.0006,157,149.0,32.8,2.0,1.435
0.233,0.3331,0.1704,0.3199,1.0742,121,98.2,30.1,2.0,1.412
0.2598,0.3138,0.1972,0.2055,1.4204,105,141.9,36.9,1.0,3.484
0.2264,0.2758,0.1598,0.2546,1.4349,105,78.1,37.6,2.0,1.495
0.3699,0.4293,0.2345,0.2724,2.1957,126,145.4,29.5,0.0,4.301
0.1242,0.2425,0.0697,0.0698,0.5065,140,191.9,33.6,0.0,2.087
0.2887,0.3362,0.1636,0.0591,1.506,163,100.0,30.1,0.0,3.078
0.1552,0.2265,0.1139,0.0625,0.9007,180,245.7,28.4,3.0,46.451
0.1539,0.2065,0.09,0.3271,1.054,104,191.8,18.7,3.0,51.277
0.3071,0.4505,0.226,0.2175,1.4628,167,375.7,25.7,1.0,4.169
0.1405,0.2267,0.094,0.2755,0.9453,114,153.9,27.6,3.0,47.741
0.3465,0.4647,0.2093,0.266,1.4929,140,237.0,23.3,1.0,4.654
0.1679,0.2553,0.1031,0.1254,1.1346,121,186.1,26.0,1.0,2.655
0.1217,0.2299,0.0681,0.1116,0.4522,138,88.6,30.5,0.0,2.252
0.2458,0.3549,0.185,0.0541,1.5954,161,246.4,33.0,3.0,55.274
0.3657,0.4065,0.2419,0.1968,1.3771,112,302.6,27.6,1.0,4.543
0.374,0.5064,0.2216,0.1819,2.2294,129,109.5,26.4,0.0,4.368
0.3929,0.4729,0.2524,0.1703,1.8625,115,127.2,29.5,4.0,9.996
0.2847,0.3991,0.1758,0.3482,1.8011,124,76.5,36.9,0.0,3.471
0.3882,0.4527,0.2732,0.2237,1.5504,168,112.8,36.9,4.0,10.464
0.3717,0.5011,0.2045,0.2043,1.3107,138,180.4,31.5,0.0,3.817
0.2626,0.3691,0.1822,0.0774,1.123,152,66.7,31.3,4.0,6.542
0.2503,0.3738,0.1461,0.0492,1.692,135,131.3,32.7,0.0,2.968
0.2541,0.3388,0.1589,0.0643,1.2963,136,315.0,19.2,1.0,3.525
0.3266,0.3672,0.2304,0.2719,1.4515,118,121.3,20.9,0.0,3.764
0.4041,0.4887,0.3088,0.2495,1.4992,102,172.0,37.8,4.0,10.395
0.4036,0.4946,0.2928,0.0451,2.6359,138,131.2,27.3,4.0,10.523
0.2914,0.3389,0.2108,0.3058,1.0918,164,328.8,37.7,1.0,4.813
0.1302,0.2566,0.0941,0.3402,0.619,181,113.2,19.7,2.0,1.023
0.2037,0.3529,0.1508,0.2325,1.0852,108,238.6,19.9,3.0,48.327
